Sample,ID,Switch,Switch_lat,Switch_lat_short,Host1,Host1_lat,Host1_1,Host2,Host2_lat,Host2_2,Rel,Time,BioRep,Family,Treatment
NS_tworep_1.2,NS_tworep_1,NS,UdSc,US,N,U,N1,S,S,S2,new,2,2,1,S
NS_tworep_2.1,NS_tworep_2,NS,UdSc,US,N,U,N1,S,S,S2,new,2,1,2,S
NS_tworep_2.2,NS_tworep_2,NS,UdSc,US,N,U,N1,S,S,S2,new,2,2,2,S
SG_seventeenrep_1.1,SG_seventeenrep_1,SG,ScRu,SR,S,S,S1,G,R,G2,new,17,1,1,S
SG_seventeenrep_1.2,SG_seventeenrep_1,SG,ScRu,SR,S,S,S1,G,R,G2,new,17,2,1,S
SG_seventeenrep_2.1,SG_seventeenrep_2,SG,ScRu,SR,S,S,S1,G,R,G2,new,17,1,2,S
SG_seventeenrep_2.2,SG_seventeenrep_2,SG,ScRu,SR,S,S,S1,G,R,G2,new,17,2,2,S
SG_tworep_1.1,SG_tworep_1,SG,ScRu,SR,S,S,S1,G,R,G2,new,2,1,1,S
SG_tworep_1.2,SG_tworep_1,SG,ScRu,SR,S,S,S1,G,R,G2,new,2,2,1,S
SG_tworep_2.1,SG_tworep_2,SG,ScRu,SR,S,S,S1,G,R,G2,new,2,1,2,S
SG_tworep_2.2,SG_tworep_2,SG,ScRu,SR,S,S,S1,G,R,G2,new,2,2,2,S
SN_seventeenrep_1.1,SN_seventeenrep_1,SN,ScUd,SU,S,S,S1,N,U,N2,new,17,1,1,S
SN_seventeenrep_1.2,SN_seventeenrep_1,SN,ScUd,SU,S,S,S1,N,U,N2,new,17,2,1,S
SN_seventeenrep_2.1,SN_seventeenrep_2,SN,ScUd,SU,S,S,S1,N,U,N2,new,17,1,2,S
SN_seventeenrep_2.2,SN_seventeenrep_2,SN,ScUd,SU,S,S,S1,N,U,N2,new,17,2,2,S
SN_tworep_1.1,SN_tworep_1,SN,ScUd,SU,S,S,S1,N,U,N2,new,2,1,1,S
SN_tworep_1.2B,SN_tworep_1B,SN,ScUd,SU,S,S,S1,N,U,N2,new,2,2B,1,S
SN_tworep_1.2,SN_tworep_1,SN,ScUd,SU,S,S,S1,N,U,N2,new,2,2,1,S
SN_tworep_2.1,SN_tworep_2,SN,ScUd,SU,S,S,S1,N,U,N2,new,2,1,2,S
SN_tworep_2.2,SN_tworep_2,SN,ScUd,SU,S,S,S1,N,U,N2,new,2,2,2,S
SS_seventeenrep_1.1,SS_seventeenrep_1,SS,ScSc,SS,S,S,S1,S,S,S2,same,17,1,1,C
SS_seventeenrep_1.2,SS_seventeenrep_1,SS,ScSc,SS,S,S,S1,S,S,S2,same,17,2,1,C
SS_seventeenrep_2.1,SS_seventeenrep_2,SS,ScSc,SS,S,S,S1,S,S,S2,same,17,1,2,C
SS_seventeenrep_2.2,SS_seventeenrep_2,SS,ScSc,SS,S,S,S1,S,S,S2,same,17,2,2,C
SS_tworep_1.1,SS_tworep_1,SS,ScSc,SS,S,S,S1,S,S,S2,same,2,1,1,C
SS_tworep_1.2,SS_tworep_1,SS,ScSc,SS,S,S,S1,S,S,S2,same,2,2,1,C
SS_tworep_2.1,SS_tworep_2,SS,ScSc,SS,S,S,S1,S,S,S2,same,2,1,2,C
SS_tworep_2.2,SS_tworep_2,SS,ScSc,SS,S,S,S1,S,S,S2,same,2,2,2,C
