Individual	Family	Age	Start	Start_lat	End	End_lat	Weight	Instar	Instar_edit																										
NN3.3	3	18	N	U	N	U	126.194	5	as																										
NN3.3	3	19	N	U	N	U	NA	5	as																										
NN3.3	3	20	N	U	N	U	NA	5	as																										
NN3.3	3	21	N	U	N	U	372.868	5	as																										
NN3.3	3	22	N	U	N	U	NA	5	as																										
NN3.3	3	23	N	U	N	U	320.121	5	as																										
NN3.3	3	P	N	U	N	U	292.289	P	P																										
NN 4.1	4	1	N	U	N	U	0.199	i	i																										
NN 4.1	4	2	N	U	N	U	NA	i	i																										
NN 4.1	4	3	N	U	N	U	NA	i	i																										
NN 4.1	4	4	N	U	N	U	1.189	i	i																										
NN 4.1	4	5	N	U	N	U	NA	i	i																										
NN 4.1	4	6	N	U	N	U	2	i	i																										
NN 4.1	4	7	N	U	N	U	NA	i	i																										
NN 4.1	4	8	N	U	N	U	5.902	i	i																										
NN 4.1	4	9	N	U	N	U	NA	i	i																										
NN 4.1	4	10	N	U	N	U	NA	i	i																										
NN 4.1	4	11	N	U	N	U	17.651	i	i																										
NN 4.1	4	12	N	U	N	U	NA	i	i																										
NN 4.1	4	13	N	U	N	U	NA	i	i																										
NN 4.1	4	14	N	U	N	U	NA	i	i																										
NN 4.1	4	15	N	U	N	U	NA	5	i5																										
NN 4.1	4	16	N	U	N	U	120.109	5	as																										
NN 4.1	4	17	N	U	N	U	NA	5	as																										
NN 4.1	4	18	N	U	N	U	NA	5	as																										
NN 4.1	4	19	N	U	N	U	272.306	5	as																										
NN 4.1	4	20	N	U	N	U	NA	5	as																										
NN 4.1	4	21	N	U	N	U	395.933	5	as																										
NN 4.1	4	22	N	U	N	U	NA	5	as																										
NN 4.1	4	P	N	U	N	U	282.231	P	P																										
NN 4.2	4	1	N	U	N	U	0.203	i	i																										
NN 4.2	4	2	N	U	N	U	NA	i	i																										
NN 4.2	4	3	N	U	N	U	NA	i	i																										
NN 4.2	4	4	N	U	N	U	1.022	i	i																										
NN 4.2	4	5	N	U	N	U	NA	i	i																										
NN 4.2	4	6	N	U	N	U	1.573	i	i																										
NN 4.2	4	7	N	U	N	U	NA	i	i																										
NN 4.2	4	8	N	U	N	U	5.452	i	i																										
NN 4.2	4	9	N	U	N	U	NA	i	i																										
NN 4.2	4	10	N	U	N	U	NA	i	i																										
NN 4.2	4	11	N	U	N	U	15.539	i	i																										
NN 4.2	4	12	N	U	N	U	NA	i	i																										
NN 4.2	4	13	N	U	N	U	NA	i	i																										
NN 4.2	4	14	N	U	N	U	NA	i	i																										
NN 4.2	4	15	N	U	N	U	NA	5	i5																										
NN 4.2	4	16	N	U	N	U	107.624	5	as																										
NN 4.2	4	17	N	U	N	U	NA	5	as																										
NN 4.2	4	18	N	U	N	U	NA	5	as																										
NN 4.2	4	19	N	U	N	U	160.33	5	as																										
NN 4.2	4	20	N	U	N	U	NA	5	as																										
NN 4.2	4	21	N	U	N	U	286.071	5	as																										
NN 4.2	4	22	N	U	N	U	NA	5	as																										
NN 4.2	4	23	N	U	N	U	NA	5	as																										
NN 4.2	4	P	N	U	N	U	242.248	P	P																										
NN 5.1	5	1	N	U	N	U	0.253	i	i																										
NN 5.1	5	2	N	U	N	U	NA	i	i																										
NN 5.1	5	3	N	U	N	U	NA	i	i																										
NN 5.1	5	4	N	U	N	U	1.262	i	i																										
NN 5.1	5	5	N	U	N	U	NA	i	i																										
NN 5.1	5	6	N	U	N	U	1.599	i	i																										
NN 5.1	5	7	N	U	N	U	NA	i	i																										
NN 5.1	5	8	N	U	N	U	6.89	i	i																										
NN 5.1	5	9	N	U	N	U	NA	i	i																										
NN 5.1	5	10	N	U	N	U	NA	i	i																										
NN 5.1	5	11	N	U	N	U	18.98	i	i																										
NN 5.1	5	12	N	U	N	U	NA	i	i																										
NN 5.1	5	13	N	U	N	U	NA	i	i																										
NN 5.1	5	14	N	U	N	U	NA	i	i																										
NN 5.1	5	15	N	U	N	U	NA	5	i5																										
NN 5.1	5	16	N	U	N	U	98.86	5	as																										
NN 5.1	5	17	N	U	N	U	NA	5	as																										
NN 5.1	5	18	N	U	N	U	NA	5	as																										
NN 5.1	5	19	N	U	N	U	273.833	5	as																										
NN 5.1	5	20	N	U	N	U	NA	5	as																										
NN 5.1	5	21	N	U	N	U	385.341	5	as																										
NN 5.1	5	P	N	U	N	U	278.917	P	P																										
NN 5.2	5	1	N	U	N	U	0.268	i	i																										
NN 5.2	5	2	N	U	N	U	NA	i	i																										
NN 5.2	5	3	N	U	N	U	NA	i	i																										
NN 5.2	5	4	N	U	N	U	1.647	i	i																										
NN 5.2	5	5	N	U	N	U	NA	i	i																										
NN 5.2	5	6	N	U	N	U	3.147	i	i																										
NN 5.2	5	7	N	U	N	U	NA	i	i																										
NN 5.2	5	8	N	U	N	U	5.475	i	i																										
NN 5.2	5	9	N	U	N	U	NA	i	i																										
NN 5.2	5	10	N	U	N	U	NA	i	i																										
NN 5.2	5	11	N	U	N	U	25.475	i	i																										
NN 5.2	5	12	N	U	N	U	NA	i	i																										
NN 5.2	5	13	N	U	N	U	NA	i	i																										
NN 5.2	5	14	N	U	N	U	NA	i	i																										
NN 5.2	5	15	N	U	N	U	NA	i	i																										
NN 5.2	5	16	N	U	N	U	92.546	5	i5																										
NN 5.2	5	17	N	U	N	U	NA	5	as																										
NN 5.2	5	18	N	U	N	U	NA	5	as																										
NN 5.2	5	19	N	U	N	U	333.675	5	as																										
NN 5.2	5	20	N	U	N	U	NA	5	as																										
NN 5.2	5	21	N	U	N	U	327.252	5	as																										
NN 5.2	5	P	N	U	N	U	284.986	P	P																										
NG 1.1	1	1	N	U	G	R	0.179	i	i																										
NG 1.1	1	2	N	U	G	R	0.479	i	i																										
NG 1.1	1	3	N	U	G	R	0.918	i	i																										
NG 1.1	1	4	N	U	G	R	1.257	i	i																										
NG 1.1	1	5	N	U	G	R	1.268	i	i																										
NG 1.1	1	6	N	U	G	R	NA	i	i																										
NG 1.1	1	7	N	U	G	R	1.704	i	i																										
NG 1.1	1	8	N	U	G	R	4.79	i	i																										
NG 1.1	1	9	N	U	G	R	5.849	i	i																										
NG 1.1	1	10	N	U	G	R	6.6064	i	i																										
NG 1.1	1	11	N	U	G	R	9.491	i	i																										
NG 1.1	1	12	N	U	G	R	22.017	i	i																										
NG 1.1	1	13	N	U	G	R	20.363	i	i																										
NG 1.1	1	14	N	U	G	R	NA	i	i																										
NG 1.1	1	15	N	U	G	R	57.835	i	i																										
NG 1.1	1	16	N	U	G	R	100.388	i	i																										
NG 1.1	1	17	N	U	G	R	96.406	5	i5																										
NG 1.1	1	18	N	U	G	R	106.62	5	as																										
NG 1.1	1	19	N	U	G	R	178.248	5	as																										
NG 1.1	1	20	N	U	G	R	239.427	5	as																										
NG 1.1	1	21	N	U	G	R	NA	5	as																										
NG 1.1	1	22	N	U	G	R	369	5	as																										
NG 1.1	1	23	N	U	G	R	NA	5	as																										
NG 1.1	1	24	N	U	G	R	NA	5	as																										
NG 1.1	1	P	N	U	G	R	273	P	P																										
NG 2.2	2	1	N	U	G	R	0.234	i	i																										
NG 2.2	2	2	N	U	G	R	0.364	i	i																										
NG 2.2	2	3	N	U	G	R	0.315	i	i																										
NG 2.2	2	4	N	U	G	R	NA	i	i																										
NG 2.2	2	5	N	U	G	R	0.509	i	i																										
NG 2.2	2	6	N	U	G	R	1.107	i	i																										
NG 2.2	2	7	N	U	G	R	1.757	i	i																										
NG 2.2	2	8	N	U	G	R	1.729	i	i																										
NG 2.2	2	9	N	U	G	R	2.283	i	i																										
NG 2.2	2	10	N	U	G	R	2.505	i	i																										
NG 2.2	2	11	N	U	G	R	5.451	i	i																										
NG 2.2	2	12	N	U	G	R	NA	i	i																										
NG 2.2	2	13	N	U	G	R	NA	i	i																										
NG 2.2	2	14	N	U	G	R	15.497	i	i																										
NG 2.2	2	15	N	U	G	R	NA	i	i																										
NG 2.2	2	16	N	U	G	R	26.441	i	i																										
NG 2.2	2	17	N	U	G	R	NA	i	i																										
NG 2.2	2	18	N	U	G	R	85.577	i	i																										
NG 2.2	2	19	N	U	G	R	NA	4	i																										
NG 2.2	2	20	N	U	G	R	110.482	4	i																										
NG 2.2	2	21	N	U	G	R	100.529	4	i																										
NG 2.2	2	22	N	U	G	R	NA	5	i5																										
NG 2.2	2	23	N	U	G	R	224	5	as																										
NG 2.2	2	24	N	U	G	R	NA	5	as																										
NG 2.2	2	25	N	U	G	R	NA	5	as																										
NG 2.2	2	26	N	U	G	R	360.798	5	as																										
NG 2.2	2	27	N	U	G	R	NA	5	as																										
NG 2.2	2	28	N	U	G	R	NA	5	as																										
NG 2.2	2	29	N	U	G	R	301.153	5	as																										
NG 2.2	2	P	N	U	G	R	282	P	P																										
NG 2.3	2	1	N	U	G	R	0.230	i	i																										
NG 2.3	2	2	N	U	G	R	0.484	i	i																										
NG 2.3	2	3	N	U	G	R	0.687	i	i																										
NG 2.3	2	4	N	U	G	R	1.242	i	i																										
NG 2.3	2	5	N	U	G	R	1.313	i	i																										
NG 2.3	2	6	N	U	G	R	2.746	i	i																										
NG 2.3	2	7	N	U	G	R	5.033	i	i																										
NG 2.3	2	8	N	U	G	R	4.862	i	i																										
NG 2.3	2	9	N	U	G	R	6.58	i	i																										
NG 2.3	2	10	N	U	G	R	14.355	i	i																										
NG 2.3	2	11	N	U	G	R	NA	i	i																										
NG 2.3	2	12	N	U	G	R	NA	i	i																										
NG 2.3	2	13	N	U	G	R	NA	i	i																										
NG 2.3	2	14	N	U	G	R	32.809	i	i																										
NG 2.3	2	15	N	U	G	R	NA	i	i																										
NG 2.3	2	16	N	U	G	R	102.874	i	i																										
NG 2.3	2	17	N	U	G	R	98.732	i	i																										
NG 2.3	2	18	N	U	G	R	87.692	i	i																										
