Sample,SampleID,ID,Switch,Host1,Host2,Time,Rel,Replicate,BioRep
NN_tworep7,NN_tworep4,40,NN,N,N,2,same,7,4
NN_tworep8,NN_tworep4,40,NN,N,N,2,same,8,4
NS_seventeenrep1,NS_seventeenrep1,41,NS,N,S,17,new,1,1
NS_seventeenrep2,NS_seventeenrep1,41,NS,N,S,17,new,2,1
NS_seventeenrep3,NS_seventeenrep2,42,NS,N,S,17,new,3,2
NS_seventeenrep4,NS_seventeenrep2,42,NS,N,S,17,new,4,2
NS_seventeenrep5,NS_seventeenrep3,43,NS,N,S,17,new,5,3
NS_seventeenrep6,NS_seventeenrep3,43,NS,N,S,17,new,6,3
NS_seventeenrep7,NS_seventeenrep4,44,NS,N,S,17,new,7,4
NS_seventeenrep8,NS_seventeenrep4,44,NS,N,S,17,new,8,4
NS_tworep1,NS_tworep1,45,NS,N,S,2,new,1,1
NS_tworep2,NS_tworep1,45,NS,N,S,2,new,2,1
NS_tworep3,NS_tworep2,46,NS,N,S,2,new,3,2
NS_tworep4,NS_tworep2,46,NS,N,S,2,new,4,2
NS_tworep5,NS_tworep3,47,NS,N,S,2,new,5,3
NS_tworep6,NS_tworep3,47,NS,N,S,2,new,6,3
NS_tworep7,NS_tworep4,48,NS,N,S,2,new,7,4
NS_tworep8,NS_tworep4,48,NS,N,S,2,new,8,4
SE_seventeenrep1,SE_seventeenrep1,49,SE,S,E,17,new,1,1
SE_seventeenrep2,SE_seventeenrep1,49,SE,S,E,17,new,2,1
SE_seventeenrep3,SE_seventeenrep2,50,SE,S,E,17,new,3,2
SE_seventeenrep4,SE_seventeenrep2,50,SE,S,E,17,new,4,2
SE_seventeenrep5,SE_seventeenrep3,51,SE,S,E,17,new,5,3
SE_seventeenrep6,SE_seventeenrep3,51,SE,S,E,17,new,6,3
SE_seventeenrep7,SE_seventeenrep4,52,SE,S,E,17,new,7,4
SE_seventeenrep8,SE_seventeenrep4,52,SE,S,E,17,new,8,4
SE_tworep1,SE_tworep1,53,SE,S,E,2,new,1,1
SE_tworep2,SE_tworep1,53,SE,S,E,2,new,2,1
SE_tworep3,SE_tworep2,54,SE,S,E,2,new,3,2
SE_tworep4,SE_tworep2,54,SE,S,E,2,new,4,2
SE_tworep5,SE_tworep3,55,SE,S,E,2,new,5,3
SE_tworep6,SE_tworep3,55,SE,S,E,2,new,6,3
SE_tworep7,SE_tworep4,56,SE,S,E,2,new,7,4
SE_tworep8,SE_tworep4,56,SE,S,E,2,new,8,4
SN_seventeenrep1,SN_seventeenrep1,57,SN,S,N,17,new,1,1
SN_seventeenrep2,SN_seventeenrep1,57,SN,S,N,17,new,2,1
SN_seventeenrep3,SN_seventeenrep2,58,SN,S,N,17,new,3,2
SN_seventeenrep4,SN_seventeenrep2,58,SN,S,N,17,new,4,2
SN_seventeenrep5,SN_seventeenrep3,59,SN,S,N,17,new,5,3
SN_seventeenrep6,SN_seventeenrep3,59,SN,S,N,17,new,6,3
SN_seventeenrep7,SN_seventeenrep4,60,SN,S,N,17,new,7,4
SN_seventeenrep8,SN_seventeenrep4,60,SN,S,N,17,new,8,4
SN_tworep1,SN_tworep1,61,SN,S,N,2,new,1,1
SN_tworep2,SN_tworep1,61,SN,S,N,2,new,2,1
SN_tworep3,SN_tworep2,62,SN,S,N,2,new,3,2
SN_tworep4,SN_tworep2,62,SN,S,N,2,new,4,2
SN_tworep5,SN_tworep3,63,SN,S,N,2,new,5,3
SN_tworep6,SN_tworep3,63,SN,S,N,2,new,6,3
SN_tworep7,SN_tworep4,64,SN,S,N,2,new,7,4
SN_tworep8,SN_tworep4,64,SN,S,N,2,new,8,4
SS_seventeenrep1,SS_seventeenrep1,65,SS,S,S,17,same,1,1
SS_seventeenrep2,SS_seventeenrep1,65,SS,S,S,17,same,2,1
SS_seventeenrep3,SS_seventeenrep2,66,SS,S,S,17,same,3,2
SS_seventeenrep4,SS_seventeenrep2,66,SS,S,S,17,same,4,2
SS_seventeenrep5,SS_seventeenrep3,67,SS,S,S,17,same,5,3
SS_seventeenrep6,SS_seventeenrep3,67,SS,S,S,17,same,6,3
SS_seventeenrep7,SS_seventeenrep4,68,SS,S,S,17,same,7,4
SS_seventeenrep8,SS_seventeenrep4,68,SS,S,S,17,same,8,4
SS_tworep1,SS_tworep1,69,SS,S,S,2,same,1,1
SS_tworep2,SS_tworep1,69,SS,S,S,2,same,2,1
SS_tworep3,SS_tworep2,70,SS,S,S,2,same,3,2
SS_tworep4,SS_tworep2,70,SS,S,S,2,same,4,2
SS_tworep5,SS_tworep3,71,SS,S,S,2,same,5,3
SS_tworep6,SS_tworep3,71,SS,S,S,2,same,6,3
SS_tworep7,SS_tworep4,72,SS,S,S,2,same,7,4
SS_tworep8,SS_tworep4,72,SS,S,S,2,same,8,4
